"time","F14C"
2019.25,0.999724178816329
2019.5,1.00246370564625
2019.75,1.00205275906117
2020,1.00012604061589
2020.25,0.996917083796255
2020.5,0.999712774060483
2020.75,0.999356867210168
2021,0.997484087282748
2021.25,0.994327989796833
2021.5,0.997175481802612
2021.75,0.996870340261633
2022,0.99504730994793
2022.25,0.991939966701816
2022.5,0.994835237488594
2022.75,0.994576918786473
2023,0.992799774495661
2023.25,0.989737399199977
2023.5,0.992676738233217
2023.75,0.992461606074569
2024,0.990726784265067
2024.25,0.987705884676402
2024.5,0.990685869584349
2024.75,0.990510570071112
2025,0.988814783948545
2025.25,0.985832139033624
2025.5,0.98884961322838
2025.75,0.988711052928626
2026,0.987051270953438
2026.25,0.984103909826751
2026.5,0.987155961863307
2026.75,0.98705128758326
2027,0.985424713647438
2027.25,0.982509896144584
2027.5,0.985593840682845
2027.75,0.985520420809815
2028,0.983924475953109
2028.25,0.981039674712825
2028.5,0.984153034958143
2028.75,0.984108442252375
2029,0.982540747798444
