"time","F14C"
2019.25,1.01134078168134
2019.5,1.00906763513745
2019.75,1.00953235947058
2020,1.0088796305744
2020.25,1.00896248547902
2020.5,1.00674291957289
2020.75,1.00725387786598
2021,1.00664896179768
2021.25,1.00677710442639
2021.5,1.00460677446212
2021.75,1.00516021791591
2022,1.00459923777419
2022.25,1.00476899602456
2022.5,1.00264390959534
2022.75,1.00323639338147
2023,1.00271578662306
2023.25,1.00292378614459
2023.5,1.00084027456737
2023.75,1.0014686331809
2024,1.00098512613087
2024.25,1.00122826618182
2024.5,0.999182958248221
2024.75,0.99984428285877
2025,0.999394867287689
2025.25,0.999670298549551
2025.5,0.997660096405164
2025.75,0.99835171404447
2026,0.997933625644774
2026.25,0.998238729835639
2026.5,0.996260786815172
2026.75,0.996980241252243
2027,0.996590939859877
2027.25,0.996923311000876
2027.5,0.994975011260505
2027.75,0.995720045427509
2028,0.99535719684728
2028.25,0.995714624048015
2028.5,0.993793563849262
2028.75,0.994562103692406
2029,0.994223562997024
